"","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpres.modsed","SYMBOL","GENENAME","ENTREZID","delabel"
"10641","ENSG00000204291",1870.40992773376,0.40903219337588,0.0796888803137122,5.13286410557707,2.85365953435892e-07,0.00370490617345819,"NO","COL15A1","collagen type XV alpha 1 chain","1306","COL15A1"
"9323","ENSG00000181026",88.4459915007777,-1.07371500378596,0.226995178137081,-4.73012251889138,2.24384379362094e-06,0.00971060799086021,"DOWN","AEN","apoptosis enhancing nuclease","64782","AEN"
"9646","ENSG00000184811",30.3530744597309,-2.31696189297751,0.48698513876228,-4.75776714432455,1.957461127258e-06,0.00971060799086021,"DOWN","TRARG1","trafficking regulator of GLUT4 (SLC2A4) 1","286753","TRARG1"
"3293","ENSG00000116774",124.394940331425,0.546274677342358,0.119076482328962,4.58759502009149,4.48381365789202e-06,0.0122020483928993,"NO","OLFML3","olfactomedin like 3","56944","OLFML3"
"9332","ENSG00000181092",199.43642271992,-2.74629430066962,0.599917639060046,-4.5777855523177,4.69924069664148e-06,0.0122020483928993,"DOWN","ADIPOQ","adiponectin, C1Q and collagen domain containing","9370","ADIPOQ"
"2783","ENSG00000111647",508.371367759287,0.438097835040671,0.0983520813244439,4.45438295907002,8.4134810005805e-06,0.0155202497522909,"NO","BLTP3B","bridge-like lipid transfer protein family member 3B","23074","BLTP3B"
"7532","ENSG00000164638",30.7198522930843,-1.39802978200949,0.315809334611853,-4.4268158942412,9.56342894695583e-06,0.0155202497522909,"DOWN","SLC29A4","solute carrier family 29 member 4","222962","SLC29A4"
"10590","ENSG00000203804",309.946642279234,-0.914524865516301,0.205735565978046,-4.44514715367147,8.78317266430738e-06,0.0155202497522909,"NO",NA,NA,NA,NA
"7561","ENSG00000164855",259.329201309848,-0.313822035890711,0.0713401664355679,-4.39895295414183,1.08774401293727e-05,0.0156913116888495,"NO","TMEM184A","transmembrane protein 184A","202915","TMEM184A"
"1488","ENSG00000095203",62.5058004653817,-1.16749798656307,0.268687265628769,-4.34519285397074,1.39153354128718e-05,0.016423890878665,"DOWN","EPB41L4B","erythrocyte membrane protein band 4.1 like 4B","54566","EPB41L4B"
"4558","ENSG00000132475",3116.27027084937,-0.384621561097233,0.0883026376426169,-4.355719957697,1.326302551797e-05,0.016423890878665,"NO","H3-3B","H3.3 histone B","3021","H3-3B"
"7848","ENSG00000166819",151.332311726327,-2.19044390886421,0.507021379582464,-4.32022000860803,1.55873717124169e-05,0.0168642372451924,"DOWN","PLIN1","perilipin 1","5346","PLIN1"
"2927","ENSG00000112983",539.376566209209,-0.275651757350984,0.0648121736635429,-4.25308613752048,2.10844426032081e-05,0.0210568706398039,"NO","BRD8","bromodomain containing 8","10902","BRD8"
"156","ENSG00000008394",46.1654169064399,-1.46924506465693,0.347162118122288,-4.23215837201278,2.3145932761581e-05,0.0214645460745433,"DOWN","MGST1","microsomal glutathione S-transferase 1","4257","MGST1"
"2543","ENSG00000108578",372.779849714324,0.363034302190265,0.086272286582935,4.20800603031745,2.57633993117108e-05,0.0219753703711125,"NO","BLMH","bleomycin hydrolase","642","BLMH"
"3291","ENSG00000116761",52.4693799020229,-0.741797636508221,0.17733713971132,-4.18297959308335,2.87713226703932e-05,0.0219753703711125,"NO","CTH","cystathionine gamma-lyase","1491","CTH"
"4121","ENSG00000127527",1107.2690300926,0.516108746296289,0.124136018706822,4.15760672585455,3.2159904263355e-05,0.0219753703711125,"NO","EPS15L1","epidermal growth factor receptor pathway substrate 15 like 1","58513","EPS15L1"
"5736","ENSG00000143382",1540.2693253431,-0.996052077865027,0.238275415345407,-4.18025534200051,2.91181945675069e-05,0.0219753703711125,"NO","ADAMTSL4","ADAMTS like 4","54507","ADAMTSL4"
"11190","ENSG00000226482",82.6071120926079,-2.70039226023749,0.649269012477868,-4.15912696946943,3.19466289356568e-05,0.0219753703711125,"DOWN","ADIPOQ-AS1","ADIPOQ antisense RNA 1","100874095","ADIPOQ-AS1"
